DAY,MONTH,YEAR,DAY_WEEK,HOUR,MINUTE,LATITUDE,LONGITUD
7,2,2017,3,19,1,31.09387778,-85.98667222
7,2,2017,3,14,0,34.37493333,-86.47468056
8,2,2017,4,3,58,34.60710556,-85.72939444
8,2,2017,4,9,50,34.21054167,-86.16814167
9,2,2017,5,7,15,34.67186111,-87.860725
10,2,2017,6,15,50,33.51267222,-86.21326111
11,2,2017,7,0,43,31.67875,-85.61523889
12,2,2017,1,1,20,32.28173333,-87.73953333
12,2,2017,1,18,10,34.20741111,-86.49266389
14,2,2017,3,5,45,34.47671111,-87.03626667
14,2,2017,3,20,30,34.01224444,-86.74904722
15,2,2017,4,19,4,34.21631111,-86.15720278
17,2,2017,6,7,19,32.46128333,-85.1514
18,2,2017,7,21,15,33.82130833,-87.16238333
19,2,2017,1,14,40,34.6441,-87.61647778
19,2,2017,1,4,0,34.82025833,-87.00883056
19,2,2017,1,5,25,33.36851667,-87.01028611
4,3,2017,7,1,16,33.412625,-86.96748611
5,3,2017,1,20,0,33.91855,-86.866225
5,3,2017,1,20,3,33.91855556,-86.86622222
10,3,2017,6,18,30,32.42320833,-85.92891111
10,3,2017,6,15,30,31.56956667,-86.85467778
10,3,2017,6,0,39,33.59407222,-86.18777222
13,3,2017,2,14,0,33.89895278,-86.23294167
16,3,2017,5,7,20,30.49588056,-88.33839722
21,3,2017,3,18,48,33.58275556,-86.02940278
28,3,2017,3,5,55,33.54144722,-86.64372222
30,3,2017,5,0,11,33.50738056,-86.81815
31,3,2017,6,19,53,34.83446389,-86.93735833
14,2,2017,3,19,50,30.747575,-88.11266944
14,2,2017,3,19,8,33.68580278,-85.82990278
15,2,2017,4,18,57,32.29523889,-85.15814722
16,2,2017,5,22,35,34.75314722,-86.11910278
11,3,2017,7,2,50,33.17428611,-87.23313056
5,3,2017,1,11,50,34.12655,-86.94560278
5,3,2017,1,2,15,32.42346944,-86.28707778
7,3,2017,3,0,48,30.76708056,-87.78698611
7,3,2017,3,5,30,32.95860278,-87.68719167
8,3,2017,4,16,52,33.18888333,-87.15183611
9,3,2017,5,22,25,34.29180278,-86.24873889
10,3,2017,6,16,5,32.57356667,-86.68208056
11,3,2017,7,9,0,33.50321667,-86.00475
11,3,2017,7,0,53,33.52398056,-86.80010278
12,3,2017,1,18,30,34.17851389,-86.74272222
12,3,2017,1,2,0,33.05271111,-88.03431667
15,3,2017,4,19,21,34.73500278,-86.63375556
16,3,2017,5,16,28,33.53161389,-86.75728889
16,3,2017,5,14,25,32.56470556,-86.43396389
17,3,2017,6,22,50,31.91629444,-86.01944722
18,3,2017,7,20,50,34.59369444,-87.26125
18,3,2017,7,18,45,32.63684722,-87.36674444
17,3,2017,6,15,53,34.82180278,-86.64299444
19,3,2017,1,16,30,31.16951389,-86.59759722
19,3,2017,1,19,35,33.61412778,-87.35676389
